feature,importance
rolling_mean_7,0.5392337
lag_28,0.14538412
rolling_mean_14,0.11251687
rolling_mean_30,0.07362515
lag_1,0.048949666
lag_7,0.0357989
weekend,0.0047753286
lag_14,0.0040716864
snap_WI,0.0034238875
snap_CA,0.003113368
wday,0.0029734008
event_name_1,0.0029517994
wday_cos,0.0028771246
snap_TX,0.0025554532
wday_sin,0.0019978036
store_id,0.0019514452
event_type_1,0.001846406
state_id,0.0016698698
is_event,0.0010962147
month,0.0010938772
dept_id,0.0010916594
month_cos,0.0010239439
quarter,0.0008565299
month_sin,0.00073930714
rolling_std_7,0.000687068
rolling_std_30,0.0006792859
price_change,0.0006371539
price_change_pct,0.0006271905
price_lag_1,0.0006165555
year,0.0005790308
sell_price,0.0005562974
