feature,mean_abs_shap
rolling_mean_7,144.7718396378064
lag_1,102.72979660797655
lag_28,90.94392090468078
lag_7,51.815931257737645
lag_14,23.451903500175614
rolling_mean_14,13.64081713618347
weekend,11.466948305114817
wday,11.312933116108471
snap_WI,9.532030094270674
wday_cos,8.606937872779454
snap_TX,7.356225233677329
snap_CA,5.1270127683460585
store_id,4.83592684901533
rolling_mean_30,3.427904556377725
event_type_1,3.152003544287584
event_name_1,2.630010581158535
dept_id,2.0640277994655123
rolling_std_7,1.9140514115201357
year,1.7833055368266024
month_cos,1.4705074747669444
month,1.3606665143879204
rolling_std_30,1.1881315922568494
wday_sin,1.1481930756260084
sell_price,0.7617966912162721
month_sin,0.3653419125502134
price_lag_1,0.20360428206793546
is_event,0.12282842873248913
price_change,0.03090230199424541
price_change_pct,0.027981029756081903
state_id,0.0
quarter,0.0
